Age,Age_Gap,Has_Own_House,Is_Spouse,Reco_Individual_Insurance,Reco_Policy_Premium,Holding_Policy_Duration,Holding_Policy_Type,Health_Indicator,Response,Reco_Policy_Groups,City_Group,Region_Group
36,0,1,0,1,11628,15,3,1,0,4,1,16
22,53,0,0,0,30510,0,0,2,0,4,2,8
32,0,0,0,1,7450,1,1,1,1,3,2,17
48,4,0,0,0,17780,15,3,1,0,3,4,18
44,0,1,0,1,10404,3,1,2,0,1,2,13
52,0,1,0,1,15264,5,1,2,1,4,3,11
28,0,0,0,1,10640,0,0,1,0,2,1,6
73,2,0,1,0,29344,9,4,4,1,2,0,16
43,9,0,0,0,27283,14,3,1,0,0,3,17
26,33,0,1,0,21100,7,4,1,1,2,0,5
21,0,0,0,1,4068,0,0,2,1,3,4,5
47,12,0,1,0,25043,3,3,3,0,1,4,8
66,0,0,0,1,17192,1,2,1,1,3,2,17
20,0,1,0,1,8364,0,0,2,0,2,2,7
27,0,1,0,1,9440,2,3,3,0,0,4,12
20,0,1,0,1,4912,0,0,3,0,0,1,10
34,0,0,0,1,6660,11,1,1,0,3,1,8
43,0,0,0,1,10386,0,0,2,0,3,2,5
55,0,0,0,1,12580,1,3,2,0,3,0,11
27,0,0,0,1,8050,0,0,1,0,0,4,7
32,0,0,0,1,12060,3,3,2,0,1,3,17
23,0,1,0,1,10352,0,0,2,0,1,4,8
18,0,1,0,1,2828,0,0,5,0,4,4,6
22,0,1,0,1,5416,0,0,5,0,3,0,15
22,0,1,0,1,6370,1,3,1,0,4,2,13
25,0,1,0,1,7128,0,0,1,0,1,2,13
21,0,1,0,1,7230,0,0,1,0,3,2,16
21,0,1,0,1,3744,0,0,5,1,1,3,7
24,0,1,0,1,7800,0,0,5,0,3,0,4
27,0,0,0,1,12150,7,1,3,1,3,0,7
34,6,0,1,0,22176,3,4,5,0,2,0,13
27,0,1,0,1,10480,0,0,5,0,0,4,7
20,0,1,0,1,5550,0,0,1,0,1,4,8
21,5,1,1,0,10264,2,3,1,0,4,4,12
22,0,1,0,1,5950,0,0,1,0,1,3,4
56,0,0,0,1,13574,0,0,1,0,2,3,10
18,37,1,0,0,21582,5,3,5,0,1,0,8
35,0,1,0,1,12400,0,0,1,0,0,4,4
63,0,1,0,1,20048,1,1,1,0,2,3,10
47,2,1,1,0,22568,3,3,4,1,2,1,7
64,0,0,0,1,19830,15,3,1,0,0,0,8
28,0,0,0,1,5424,3,1,1,0,3,4,16
56,0,0,0,1,20310,2,1,5,0,4,3,15
67,0,0,0,1,19936,14,2,1,1,2,4,15
75,0,0,0,1,22762,0,0,1,0,3,4,6
42,0,0,0,1,16248,10,3,1,0,3,0,2
21,0,1,0,1,4182,0,0,1,0,2,1,10
71,0,1,0,1,15678,15,3,1,0,2,2,18
55,2,0,1,0,28260,8,4,4,1,2,0,15
68,5,0,1,0,31692,7,4,2,0,3,0,1
31,0,1,0,1,10112,0,0,2,0,2,0,7
21,0,1,0,1,9296,0,0,1,0,1,4,5
19,0,1,0,1,7140,0,0,3,0,1,4,1
75,0,0,0,1,22746,7,4,4,0,2,0,17
32,0,0,0,1,9128,3,3,2,0,3,0,14
48,0,0,0,1,15180,15,3,1,1,3,0,7
65,0,0,0,1,20520,0,0,4,1,0,0,12
26,0,1,0,1,8944,2,2,1,0,1,0,8
65,10,0,1,0,24402,0,0,1,0,3,4,9
54,0,0,0,1,14616,1,3,1,0,1,4,10
27,0,1,0,1,7032,1,3,3,0,1,4,12
75,0,0,0,1,19890,5,3,1,0,1,0,0
33,0,1,0,1,5970,2,1,2,0,0,4,7
74,1,0,1,0,32832,5,3,1,0,0,0,15
20,0,1,0,1,6850,0,0,1,1,3,4,13
75,0,0,0,1,17024,3,3,1,0,4,0,6
30,0,1,0,1,9240,8,3,2,0,2,4,12
69,0,0,0,1,16104,0,0,4,1,0,0,11
23,0,0,0,1,11536,0,0,1,1,0,0,18
32,1,1,1,0,12285,0,0,4,0,4,4,6
26,0,1,0,1,8596,0,0,4,0,1,0,12
27,0,1,0,1,11556,0,0,1,1,3,1,14
31,0,1,0,1,10926,5,1,1,0,1,1,10
68,0,0,0,1,15456,1,4,2,0,1,0,14
35,2,1,1,0,16740,1,3,2,0,1,0,2
21,0,1,0,1,8532,0,0,1,0,2,2,17
34,0,0,0,1,9792,6,3,4,0,0,2,12
31,0,0,0,1,10032,0,0,1,1,3,0,9
29,0,0,0,1,11448,5,1,3,0,2,0,19
62,0,0,0,1,13056,0,0,2,0,0,4,19
33,0,1,0,1,6800,3,4,1,0,4,0,15
71,2,0,1,0,26665,0,0,1,0,4,0,2
21,0,1,0,1,4728,0,0,3,1,1,3,0
29,0,0,0,1,9660,6,1,1,0,4,0,12
25,7,0,1,0,16581,0,0,1,0,2,2,9
30,0,1,0,1,12420,9,4,2,0,4,1,10
43,0,0,0,1,13706,0,0,2,0,3,2,18
58,0,0,0,1,16198,1,2,1,0,0,4,6
64,2,0,1,0,24192,15,3,4,1,0,0,8
22,0,1,0,1,8246,2,4,1,0,0,2,17
34,4,0,1,0,13608,0,0,1,0,1,0,11
64,0,1,0,1,19188,1,2,1,0,2,3,14
39,0,1,0,1,12960,1,3,4,0,1,2,13
66,0,0,0,1,20100,2,3,1,0,2,1,13
20,0,1,0,1,5512,0,0,1,0,4,1,12
60,0,1,0,1,15624,9,1,1,0,1,4,19
24,0,0,0,1,8162,0,0,1,1,0,2,12
57,0,0,0,1,13200,0,0,1,0,0,4,7
41,0,0,0,1,15598,0,0,1,0,4,0,16
25,0,1,0,1,8974,2,3,4,0,1,0,2
40,0,0,0,1,8526,15,3,1,0,3,0,2
19,0,1,0,1,7110,0,0,1,0,1,0,17
60,2,0,1,0,24180,15,3,1,0,2,0,13
36,2,1,1,0,10440,10,4,2,0,0,0,2
45,0,0,0,1,14208,0,0,5,1,1,1,8
37,4,0,1,0,16790,9,3,2,0,3,1,11
48,19,0,0,0,33840,0,0,1,0,4,0,11
26,0,1,0,1,4168,5,3,1,0,1,4,1
62,0,0,0,1,13332,0,0,3,0,1,3,5
22,0,1,0,1,12096,0,0,4,0,3,0,14
43,0,1,0,1,10692,1,1,1,0,0,4,6
51,0,0,0,1,17136,0,0,1,0,1,4,4
56,0,1,0,1,17612,0,0,3,0,2,0,4
27,0,1,0,1,9884,1,1,2,0,3,3,11
35,6,1,1,0,18009,1,1,1,0,2,3,11
25,0,0,0,1,8244,0,0,2,0,3,3,2
64,0,1,0,1,16884,0,0,1,0,2,0,18
22,0,1,0,1,7944,0,0,1,0,1,2,15
35,0,1,0,1,9856,6,3,2,0,3,0,18
69,0,0,0,1,15048,1,3,1,0,0,4,12
26,0,1,0,1,6080,0,0,1,0,4,0,6
48,0,0,0,1,16328,0,0,2,0,3,0,15
45,0,0,0,1,17186,0,0,2,1,0,3,7
59,0,1,0,1,12340,0,0,2,1,1,0,10
49,0,1,0,1,15624,4,1,3,0,1,3,18
24,0,0,0,1,6600,1,2,1,0,3,1,13
67,0,0,0,1,14520,6,3,1,0,3,0,12
63,0,0,0,1,19168,8,3,1,0,3,2,9
38,0,0,0,1,9456,15,3,3,0,1,4,1
21,0,0,0,1,10048,0,0,1,0,0,3,10
25,0,1,0,1,4912,2,3,3,1,3,0,7
46,0,1,0,1,13320,6,3,1,0,0,2,19
63,0,0,0,1,18450,0,0,2,0,2,3,13
35,0,0,0,1,8302,15,1,2,0,4,0,6
