,Age,Age_Gap,Has_Own_House,Is_Spouse,Reco_Individual_Insurance,Reco_Policy_Premium,Holding_Policy_Duration,Holding_Policy_Type,Health_Indicator,Reco_Policy_Cat,City_Code,Region_Code,Response
0,36,0,1,0,1,11628,15,3,1,22,3,3213,0
1,22,53,0,0,0,30510,0,0,2,22,5,1117,0
2,32,0,0,0,1,7450,1,1,1,19,5,3732,1
3,48,4,0,0,0,17780,15,3,1,19,24,4378,0
4,44,0,1,0,1,10404,3,1,2,16,8,2190,0
5,52,0,1,0,1,15264,5,1,2,22,9,1785,1
6,28,0,0,0,1,10640,0,0,1,17,3,679,0
7,73,2,0,1,0,29344,9,4,4,17,1,3175,1
8,43,9,0,0,0,27283,14,3,1,1,15,3497,0
9,26,33,0,1,0,21100,7,4,1,18,1,530,1
10,21,0,0,0,1,4068,0,0,2,21,28,600,1
11,47,12,0,1,0,25043,3,3,3,13,27,1097,0
12,66,0,0,0,1,17192,1,2,1,20,7,3453,1
13,20,0,1,0,1,8364,0,0,2,18,5,900,0
14,27,0,1,0,1,9440,2,3,3,9,20,1911,0
15,20,0,1,0,1,4912,0,0,3,2,3,1484,0
16,34,0,0,0,1,6660,11,1,1,20,3,1090,0
17,43,0,0,0,1,10386,0,0,2,19,7,677,0
18,55,0,0,0,1,12580,1,3,2,21,1,1634,0
19,27,0,0,0,1,8050,0,0,1,4,20,973,0
20,32,0,0,0,1,12060,3,3,2,16,9,3543,0
21,23,0,1,0,1,10352,0,0,2,16,24,1127,0
22,18,0,1,0,1,2828,0,0,6,22,25,787,0
23,22,0,1,0,1,5416,0,0,6,19,1,2862,0
24,22,0,1,0,1,6370,1,3,1,22,4,2182,0
25,25,0,1,0,1,7128,0,0,1,12,5,2276,0
26,21,0,1,0,1,7230,0,0,1,19,4,3283,0
27,21,0,1,0,1,3744,0,0,5,16,9,855,1
28,24,0,1,0,1,7800,0,0,5,19,1,520,0
29,27,0,0,0,1,12150,7,1,3,19,1,894,1
30,34,6,0,1,0,22176,3,4,5,17,2,2137,0
31,27,0,1,0,1,10480,0,0,6,6,34,1012,0
32,20,0,1,0,1,5550,0,0,1,14,20,1174,0
33,21,5,1,1,0,10264,2,3,1,22,20,2087,0
34,22,0,1,0,1,5950,0,0,1,11,9,518,0
35,56,0,0,0,1,13574,0,0,1,18,10,1410,0
36,18,37,1,0,0,21582,5,3,6,11,2,1045,0
37,35,0,1,0,1,12400,0,0,1,2,17,420,0
38,63,0,1,0,1,20048,1,1,1,18,10,1530,0
39,47,2,1,1,0,22568,3,3,4,18,3,927,1
40,64,0,0,0,1,19830,15,3,1,3,2,1036,0
41,28,0,0,0,1,5424,3,1,1,19,18,3256,0
42,56,0,0,0,1,20310,2,1,6,22,15,2843,0
43,67,0,0,0,1,19936,14,2,1,17,24,2748,1
44,75,0,0,0,1,22762,0,0,1,20,27,811,0
45,42,0,0,0,1,16248,10,3,1,20,2,256,0
46,21,0,1,0,1,4182,0,0,1,18,3,1475,0
47,71,0,1,0,1,15678,15,3,1,18,4,4373,0
48,55,2,0,1,0,28260,8,4,4,17,2,2858,1
49,68,5,0,1,0,31692,7,4,2,21,1,85,0
50,31,0,1,0,1,10112,0,0,2,18,1,947,0
51,21,0,1,0,1,9296,0,0,1,16,24,618,0
52,19,0,1,0,1,7140,0,0,3,16,16,119,0
53,75,0,0,0,1,22746,7,4,4,17,2,3683,0
54,32,0,0,0,1,9128,3,3,2,19,1,2499,0
55,48,0,0,0,1,15180,15,3,1,21,2,1016,1
56,65,0,0,0,1,20520,0,0,4,3,2,1876,1
57,26,0,1,0,1,8944,2,2,1,14,2,1108,0
58,65,10,0,1,0,24402,0,0,1,21,25,1290,0
59,54,0,0,0,1,14616,1,3,1,14,29,1488,0
60,27,0,1,0,1,7032,1,3,3,12,17,1842,0
61,75,0,0,0,1,19890,5,3,1,16,1,6,0
62,33,0,1,0,1,5970,2,1,2,2,33,912,0
63,74,1,0,1,0,32832,5,3,1,8,1,2980,0
64,20,0,1,0,1,6850,0,0,1,21,25,2200,1
65,75,0,0,0,1,17024,3,3,1,22,1,785,0
66,30,0,1,0,1,9240,8,3,2,18,26,1901,0
67,69,0,0,0,1,16104,0,0,4,3,2,1742,1
68,23,0,0,0,1,11536,0,0,1,3,2,4068,1
69,32,1,1,1,0,12285,0,0,4,22,25,787,0
70,26,0,1,0,1,8596,0,0,4,11,2,1989,0
71,27,0,1,0,1,11556,0,0,1,21,3,2476,1
72,31,0,1,0,1,10926,5,1,1,16,3,1471,0
73,68,0,0,0,1,15456,1,4,2,11,2,2659,0
74,35,2,1,1,0,16740,1,3,2,14,2,168,0
75,21,0,1,0,1,8532,0,0,1,18,5,3767,0
76,34,0,0,0,1,9792,6,3,4,1,8,1883,0
77,31,0,0,0,1,10032,0,0,1,19,1,1321,1
78,29,0,0,0,1,11448,5,1,3,17,2,4829,0
79,62,0,0,0,1,13056,0,0,2,1,19,4632,0
80,33,0,1,0,1,6800,3,4,1,22,2,2779,0
81,71,2,0,1,0,26665,0,0,1,22,2,187,0
82,21,0,1,0,1,4728,0,0,3,12,9,52,1
83,29,0,0,0,1,9660,6,1,1,22,1,1944,0
84,25,7,0,1,0,16581,0,0,1,18,7,1210,0
85,30,0,1,0,1,12420,9,4,2,22,3,1506,0
86,43,0,0,0,1,13706,0,0,2,21,7,4433,0
87,58,0,0,0,1,16198,1,2,1,1,28,762,0
88,64,2,0,1,0,24192,15,3,4,7,1,1154,1
89,22,0,1,0,1,8246,2,4,1,1,8,3514,0
90,34,4,0,1,0,13608,0,0,1,11,2,1734,0
91,64,0,1,0,1,19188,1,2,1,17,15,2515,0
92,39,0,1,0,1,12960,1,3,4,10,6,2100,0
93,66,0,0,0,1,20100,2,3,1,18,3,2103,0
94,20,0,1,0,1,5512,0,0,1,22,3,2079,0
95,60,0,1,0,1,15624,9,1,1,16,28,4553,0
96,24,0,0,0,1,8162,0,0,1,2,7,2024,1
97,57,0,0,0,1,13200,0,0,1,4,20,973,0
98,41,0,0,0,1,15598,0,0,1,22,2,3132,0
99,25,0,1,0,1,8974,2,3,4,16,1,156,0
100,40,0,0,0,1,8526,15,3,1,21,1,244,0
101,19,0,1,0,1,7110,0,0,1,15,2,3667,0
102,60,2,0,1,0,24180,15,3,1,18,1,2251,0
103,36,2,1,1,0,10440,10,4,2,2,2,203,0
104,45,0,0,0,1,14208,0,0,6,12,3,1057,1
105,37,4,0,1,0,16790,9,3,2,21,3,1691,0
106,48,19,0,0,0,33840,0,0,1,22,2,1818,0
107,26,0,1,0,1,4168,5,3,1,15,20,132,0
108,62,0,0,0,1,13332,0,0,3,16,12,585,0
109,22,0,1,0,1,12096,0,0,4,21,1,2509,0
110,43,0,1,0,1,10692,1,1,1,2,19,831,0
111,51,0,0,0,1,17136,0,0,1,16,18,523,0
112,56,0,1,0,1,17612,0,0,3,17,2,521,0
113,27,0,1,0,1,9884,1,1,2,19,10,1780,0
114,35,6,1,1,0,18009,1,1,1,17,10,1766,0
115,25,0,0,0,1,8244,0,0,2,21,10,224,0
116,64,0,1,0,1,16884,0,0,1,17,2,3885,0
117,22,0,1,0,1,7944,0,0,1,13,5,2788,0
118,35,0,1,0,1,9856,6,3,2,21,2,4149,0
119,69,0,0,0,1,15048,1,3,1,4,26,2082,0
120,26,0,1,0,1,6080,0,0,1,22,2,706,0
121,48,0,0,0,1,16328,0,0,2,21,2,2853,0
122,45,0,0,0,1,17186,0,0,2,3,10,872,1
123,59,0,1,0,1,12340,0,0,2,14,2,1591,1
124,49,0,1,0,1,15624,4,1,3,16,15,4199,0
125,24,0,0,0,1,6600,1,2,1,20,3,2103,0
126,67,0,0,0,1,14520,6,3,1,21,1,1993,0
127,63,0,0,0,1,19168,8,3,1,21,4,1370,0
128,38,0,0,0,1,9456,15,3,3,14,34,150,0
129,21,0,0,0,1,10048,0,0,1,4,13,1532,0
